Gene,ExomiserScore_increasedBP,BrainPutamenbasalganglia_GTExTPM,KidneyMedulla_GTExTPM,HeartLeftVentricle_GTExTPM,CellsEBVtransformedlymphocytes_GTExTPM,CellsCulturedfibroblasts_GTExTPM,Liver_GTExTPM,WholeBlood_GTExTPM,Testis_GTExTPM,AdrenalGland_GTExTPM,Effect_HF_Median,gene_damage_index_score,HIPred_haploinsufficiency,pLI_exac,SDI_Drug_Probability,H3k4me1_count
DFFB,0.500165895,3.8922,4.87443,1.61287,7.58028,6.88415,3.38575,2.07027,3.29618,4.20928,-0.003208147523603131,515.42292,0.517467737,5.09e-05,0.09861093,74.0
ACTRT2,0.502296445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.729,0.0,0.0023372640249123,2632.34552,0.170125708,0.018722461,0.069172333,82.92857142857143
ARHGEF16,0.504215775,0.707925,27.9014,0.350945,0.0248709,0.0687054,4.16166,0.0412619,7.77871,0.559504,0.0079284863221214,336.90376,0.22862041,9.37e-08,0.053062895,101.0
TPRG1L,0.500019559,62.0794,43.1419,32.933,29.3398,61.5593,62.2207,42.2346,48.1083,53.9008,-0.005973807711694,7.9088,0.465901136,0.002845285,0.09124188,32.0
HES5,0.503615446,3.28065,0.277317,0.613271,0.40999,0.0,0.143452,0.0,2.11569,0.0293796,0.0189640401855395,76.66448,0.70647347,0.532717162,0.066321449,53.0
C1orf174,0.0,6.26968,15.1616,5.47717,32.9856,27.077,11.7622,7.35761,27.4727,14.7707,-0.0022680108018609227,551.7420431428573,0.146139458,0.018742502,0.052631346,37.0
MEGF6,0.500047825,1.37132,4.48209,1.83164,0.466032,2.14082,2.97639,6.81885,6.24532,4.74658,-0.0004501012803852,6730.46373,0.475266188,4.42e-15,0.053355798,405.0
FAM213B,0.48288557915714286,18.6567,21.3514,3.89914,21.344,24.9586,5.05063,5.7527,18.3381,26.3466,-0.0017031914846374536,29.5158,0.239198908,0.0001667,0.07263998130000002,30.0
CCDC27,0.0,0.0202898,0.0181394,0.0180109,0.0,0.0,0.0,0.0,49.7952,0.0,0.0054849302305697,946.58435,0.123297259,1.61e-19,0.06273534785714288,52.0
WRAP73,0.500005854,9.82387,13.4967,7.47383,37.9041,22.7881,8.5606,16.4965,33.3408,18.0231,-0.0011306389313736,597.92006,0.535182178,0.02692199,0.07304845,43.0
CEP104,0.500016469,6.63281,6.58191,3.84858,12.1631,12.1637,5.49655,2.65219,19.9106,11.9107,-0.0370063666291601,2524.76603,0.443194807,2.63e-08,0.078593474,226.0
MMEL1,0.638866277,0.131317,0.687596,0.0330869,0.0390427,0.0427658,0.0540246,0.127913,34.9744,0.348529,0.0189934721482349,200.55931,0.318461716,8.88e-13,0.071875294,80.0
PANK4,0.504891208,7.28495,10.6834,11.7075,19.3306,14.455,7.0193,10.4403,17.6861,12.1962,-0.0176009926732908,3192.4997,0.624641776,0.945333402,0.052631346,31.0
TNFRSF14,0.500752157,7.24934,81.3138,12.937,181.804,16.2471,48.2823,95.899,25.1558,88.1789,0.0191651611287732,95.09689,0.545987666,0.819999054,0.052631346,15.0
KLHL21,0.509897801,11.9205,20.5147,23.5678,10.8334,28.8812,9.57008,24.2454,25.1153,29.806,0.0181689405068353,169.34636,0.813188612,0.001077352,0.081326173,60.0
NOL9,0.500020786,3.37247,6.82198,3.07028,10.3969,9.86674,4.0195,1.74914,9.93241,7.40051,-0.0031058180636217,89.12472,0.428845584,0.00447024,0.089898013,140.0
PLEKHG5,0.0,4.46079,6.08628,7.96684,0.547631,3.55456,1.20543,0.309659,11.6958,13.9746,0.0216098154258446,2745.09927,0.617312729,4.03e-05,0.135033813,91.0
KCNAB2,0.500174213,43.2394,3.74526,6.62195,69.757,3.12444,2.56266,52.7029,5.93051,4.93544,-0.0059064085400748,161.34463,0.806311309,0.839972632,0.290621361,147.0
ICMT,0.524364805,20.9829,22.6758,20.9141,28.0342,73.7959,10.2458,4.29475,15.5955,38.0404,0.0196462268283965,81.9495,0.672696948,0.959145428,0.093417653,23.0
ESPN,0.503837763,0.154641,8.2694,0.0535778,0.109756,0.0372777,19.0626,1.12221,79.5633,1.23306,0.0208657562476786,1569.90563,0.426909864,0.002553841,0.1079729,43.0
AJAP1,0.500024332,3.77922,2.12378,0.0366795,0.0074864,0.0323325,0.0755824,0.00814801,1.19468,0.129976,-0.0211235393164661,3783.30469,0.752204061,0.977592767,0.13595141,219.85714285714286
ZBTB48,0.458531177,9.08487,20.2848,6.00111,19.482,12.142,22.5764,33.1579,68.1307,19.5234,0.0264276918352784,221.08691,0.53161329,0.680198376,0.080065794,28.0
TNFRSF25,0.0,8.13941,10.4066,8.55766,0.407381,1.87153,2.99274,10.6026,14.658,12.9233,0.0184684042830431,491.21178,0.643315017,0.448738853,0.092047492,14.0
TAS1R1,0.50006085,0.114586,0.102869,0.0177156,0.119974,0.134025,0.0461578,0.0240813,9.6183,0.380987,0.0175527313452847,800.41532,0.146139458,7.91e-09,0.077407635,36.0
NPHP4,0.957427108,4.17297,4.90315,1.59892,6.44369,7.80954,1.53755,1.77939,20.9908,4.73534,0.0202829039096222,1128.55982,0.265566707,1.29e-17,0.181685063,98.0
RPL22,0.500718639,67.3055,161.576,51.9683,356.914,275.155,52.8062,45.7725,63.9725,118.058,0.003872492213874,0.9034,0.842442453,0.348492156,0.137689136,137.0
RNF207,0.500005111,2.84915,19.7455,27.4317,8.95931,6.34171,8.66046,0.249339,4.85494,8.30582,0.0059846336747068,2247.13325,0.333215654,5.19e-06,0.052968602,59.0
HES3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430706,0.0,0.009898910455443357,325.01069,0.285495073,0.268868568,0.052631346,18.0
CHD5,0.506039672,5.10257,0.92023,0.0480849,0.20217,0.0730642,0.0445114,0.042965,50.9551,0.154762,-0.009336968643112,139.76253,0.80871886,0.999999995,0.13527577,108.0
PHF13,0.0,5.89579,9.94522,4.33261,20.7122,28.7254,5.98896,5.33112,88.9325,13.972,0.0003790306994198,53.89196,0.646412015,0.931111283,0.066765229,33.0
THAP3,0.500008435,6.81804,9.30258,4.76757,13.57,12.2274,6.27883,5.63377,18.3293,13.386,-0.0103604952479514,127.55619,0.153042644,0.001484225,0.06858949707142856,26.0
ACOT7,0.0,29.1246,12.4421,4.76361,49.3114,41.8797,7.55398,2.95443,48.3684,9.13734,0.0086326313852575,16.25413,0.72829324,0.381517902,0.105507607,386.0
HES2,0.0,0.00439068,0.723173,0.00862258,0.651561,0.0596477,0.0198608,0.00627104,2.67906,0.0269875,0.0175648311794719,242.73824,0.285495073,0.067046655,0.054433199,96.0
GPR153,0.0,2.92595,3.91844,3.95109,3.95819,9.58817,2.35797,0.865711,5.75464,1.71652,0.0335991726304121,700.3385,0.286939383,0.000377954,0.07178774,82.0
VAMP3,0.501452462,47.1812,59.9688,29.9009,17.8923,135.864,19.9146,60.53,56.9382,73.9267,0.0052162995982794,4.41338,0.627972543,0.054263067,0.528334163,82.0
SLC45A1,0.0,8.51528,3.71079,1.29612,0.0965331,4.69387,0.21513,0.19549,4.94892,2.35126,-0.0110164589658328,78.0534,0.61401242,0.045189256,0.052968602,78.0
CA6,0.500063871,0.0,0.0,0.0,0.010266,0.0,0.0,0.0841131,0.0628262,0.0,0.0016686071005458,6002.37709,0.233598709,0.008023621,0.078404434,250.0
DNAJC11,0.50029559,7.12147,26.3672,15.3935,32.513,34.6212,9.36539,3.20238,23.3217,24.0152,-0.0155897143465446,1499.67492,0.672696948,0.99997079,0.078207083,45.0
PIK3CD,0.507436186,2.79804,8.87587,1.61935,111.7,8.24163,2.14619,96.7038,9.40802,3.61195,-0.0238507074784552,274.89339,0.850708902,0.999984295,0.119726573,81.0
ENO1,0.50533071,515.034,1146.78,100.621,3707.37,2603.4,272.603,670.27,395.36,448.345,0.0334637892050046,29.45013,0.736657143,0.010373413,0.224397,66.0
SLC25A33,0.0,11.5011,6.04053,2.4416,8.73057,6.15754,7.16059,0.993388,30.3521,2.95236,-0.0173293785325307,171.56863,0.699412525,0.451158319,0.052968602,75.0
ERRFI1,0.514240382,8.86355,20.0371,6.41134,1.28828,85.0448,220.092,0.805055,25.358,22.1239,-0.0091246401097939,351.33398,0.799537539,0.046551582,0.090209873,78.0
SLC2A5,0.500195367,2.59946,0.929612,0.577564,38.5326,0.494618,0.125334,1.45346,46.4355,2.27441,0.0058627802683757,161.01384,0.296939909,5.68e-05,0.118435881,104.0
GPR157,0.0,0.381302,3.59186,6.81196,11.4243,3.24968,4.33345,0.621892,4.23252,5.40379,0.0275470713292996,2122.36684,0.177065939,2.63e-05,0.071928058,12.0
UTS2,0.502025524,0.0,0.311916,0.0,0.0,0.0,0.0372294,0.294265,0.0666782,0.950092,-0.0085716320396208,3263.36512,0.123297259,0.151041459,0.069100326,93.54285714285714
SLC2A7,0.500189474,0.0,0.0248032,0.0143784,0.0,0.0,0.0,0.0,0.578195,0.0,-0.0071364670689984,924.8755,0.170125708,2.99e-17,0.069950443,51.0
TMEM201,0.50207427,4.5011,6.44564,5.6814,9.77739,7.55731,1.3023,0.653702,14.4833,4.79155,-0.049309018650617,717.62547,0.569524527,0.841903867,0.091176336,40.0
TNFRSF9,0.505608965,0.00766938,0.0922527,0.00895475,1.72983,0.018083,0.0377477,1.44103,0.0838714,0.0352273,-0.0021513124140124,57.48257,0.442728728,0.253050501,0.092189934,65.0
CAMTA1,0.503700457,13.0961,7.44734,4.70292,5.70101,5.86728,2.84413,1.16292,10.9858,5.24022,0.0003599064362716,1106.61409,0.692589045,0.999999955,0.079559103,1237.0
PARK7,0.509036025,143.05,163.495,130.097,303.716,302.889,110.767,61.4826,150.152,245.936,0.0070108382095773,67.74927,0.831385493,0.903949397,0.441631304,72.0
PER3,0.504973961,10.6352,9.31964,3.41756,2.39752,2.02898,8.46187,0.340559,14.5478,9.09568,0.0110784072070008,722.42393,0.429466158,2.19e-10,0.06797435,142.0
H6PD,0.500323027,6.33283,18.3129,12.0614,21.063,52.7096,68.4088,11.6547,19.8385,45.6758,0.000474887210723,2649.42707,0.331085682,0.000111404,0.053790354,240.0
SPSB1,0.500137389,6.61027,5.63734,5.12335,2.73164,13.7856,20.23,0.856933,17.42,6.84371,-0.0085645714613867,14.80542,0.852899194,0.709596082,0.071429153,548.0
RERE,0.500151823,16.0603,32.8179,28.4774,35.6353,33.4627,11.5137,17.4053,60.2877,46.5973,-0.0388375065862975,607.52718,0.748812795,0.999995655,0.069301478,846.0
